rule	label	entry	dsl	note
dexpr	dateExprAddYears	condition	add 5 years to (date) "2020-01-01" is equal to (date) "2020-01-01"
dexpr	dateExprSubDays	condition	subtract 5 days from (date) "2020-01-01" is equal to (date) "2020-01-01"
dexpr	dateExprSubMonths	condition	subtract 5 months from (date) "2020-01-01" is equal to (date) "2020-01-01"
dexpr	dateExprSubYears	condition	subtract 5 years from (date) "2020-01-01" is equal to (date) "2020-01-01"
dexpr	dateMinusDays	condition	(date) "2020-01-01" - 5 days is equal to (date) "2020-01-01"
dexpr	dateMinusMonths	condition	(date) "2020-01-01" - 5 months is equal to (date) "2020-01-01"
dexpr	dateMinusYears	condition	(date) "2020-01-01" - 5 years is equal to (date) "2020-01-01"
dexpr	datePlusDays	condition	(date) "2020-01-01" + 5 days is equal to (date) "2020-01-01"
dexpr	datePlusMonths	condition	(date) "2020-01-01" + 5 months is equal to (date) "2020-01-01"
dexpr	datePlusYears	condition	(date) "2020-01-01" + 5 years is equal to (date) "2020-01-01"
dexpr	dateFirstOfYear	condition	first of years of (date) "2020-01-01" is equal to (date) "2020-01-01"
dexpr	dateFirstOfMonth	condition	first of months of (date) "2020-01-01" is equal to (date) "2020-01-01"
dexpr	dateEndOfMonth	condition	end of months of (date) "2020-01-01" is equal to (date) "2020-01-01"
dexpr	dateEarliestAfter	condition	earliest of arr after (date) "2020-01-01" is equal to (date) "2020-01-01"
dexpr	dateTableLookup	condition	(date) tbl("x") is equal to (date) "2020-01-01"
bytesexpr	bytesLiteral	condition	0xab == 0xab
bytesexpr	bytesTyped	condition	bs == 0xab
bytesexpr	bytesParen	condition	(0xab) == 0xab
bytesexpr	bytesConcat	condition	0xab + 0xab == 0xab
bytesexpr	bytesSlice	condition	0xab from 1 to 2 == 0xab
bytesexpr	bytesSha256	condition	sha256 of 0xab == 0xab
bytesexpr	bytesKeccak256	condition	keccak256 of 0xab == 0xab
bytesexpr	bytesRipemd160	condition	ripemd160 of 0xab == 0xab
bytesexpr	bytesSha3	condition	sha3 of 0xab == 0xab
bytesexpr	bytesCvHex	condition	bytes of hex "ab" == 0xab
bytesexpr	bytesCvBase58Check	condition	bytes of base58check "x" == 0xab
bytesexpr	bytesCvBech32	condition	bytes of bech32 "x" == 0xab
bytesexpr	bytesCvBigInt	condition	bytes of bigint (bigint) 1 size 1 == 0xab
eexpr	entityTyped	condition	clone of account == first of accounts	#1247
eexpr	entityParen	condition	(account) == first of accounts	#1247
eexpr	entityIndex	condition	arr[1] == first of accounts	#1247
eexpr	entityNewName	condition	new account entity == account
eexpr	entityNewTyped	condition	new account entity == first of accounts	#1247: unreachable, parses as entityNewName (#1250)
eexpr	entityClone	condition	clone of account == account
eexpr	entityColonRef	condition	:account: account == first of accounts	#1247
eexpr	entityRelationship	condition	"role" of account == account
iexpr	intDaysInYear	condition	get days in yearof (date) "2020-01-01" > 0
iexpr	intDaysInMonth	condition	get days in months for (date) "2020-01-01" > 0
iexpr	intDayOfMonth	condition	get days of months for (date) "2020-01-01" > 0
iexpr	intDaysBetween	condition	days from (date) "2020-01-01" to (date) "2020-01-01" > 0
iexpr	intMonthsBetween	condition	months from (date) "2020-01-01" to (date) "2020-01-01" > 0
iexpr	intYearsBetween	condition	years from (date) "2020-01-01" to (date) "2020-01-01" > 0
iexpr	intYearOf	condition	get yearof (date) "2020-01-01" > 0
strexpr	strConcatName	condition	"a" + $tbl is equal to "x"
strexpr	strHexOfBytes	condition	hex of 0xab is equal to "x"
strexpr	strValueOfInt	condition	string value of 1 is equal to "x"
strexpr	strValueOfFloat	condition	string value of 1.0 is equal to "x"
strexpr	strValueOfDate	condition	string value of (date) "2020-01-01" is equal to "x"
strexpr	strValueOfBool	condition	string value of boolean true is equal to "x"
datestatement	dateAddDays	action	add 5 days to dt
datestatement	dateAddMonths	action	add 5 months to dt
datestatement	dateAddYears	action	add 5 years to dt
datestatement	dateSubDays	action	subtract 5 days from dt
datestatement	dateSubMonths	action	subtract 5 months from dt
datestatement	dateSubYears	action	subtract 5 years from dt
bigexpr	bigFromInt	condition	(bigint) 1 > (bigint) 0
bigexpr	bigFromFloat	condition	(bigint) 1.0 > (bigint) 0
bigexpr	bigFromStr	condition	(bigint) "1" > (bigint) 0
bigexpr	bigFromBytes	condition	bigint of bytes 0xab > (bigint) 0
contextForTable	contextFor	context	for i = 0; i < 3; increment i;
errorstatement	errorStmt	action	error "msg"
warnstatement	warnStmt	action	warn "msg"
nexpr	nameOf	condition	nameof account == $tbl
nexpr	nameTheName	condition	the name "x" == $tbl
nexpr	nameUsing	condition	using account ( $tbl ) == $tbl
fexpr	floatLiteral	condition	1.0 > 0.0
strexpr	strFromIndex	condition	(string) arr[1] is equal to "x"
randomstatements	removeName	action	remove $tbl from accounts array
randomstatements	sortAscending	action	sort accounts in ascending order by $tbl
randomstatements	sortDescending	action	sort accounts in descending order by $tbl
randomstatements	clearArray	action	clear accounts	#1247: unreachable, parses as clearstatement (unlabelled) (#1250)
addtostatement	addEntityToDestDup	action	add account to x and to y
addtostatement	addStrToDestDup	action	add "x" to x and to y
addtostatement	addNumToDestDup	action	add 5 to x and to y
addtostatement	addDateToDestDup	action	add (date) "2020-01-01" to x and to y
addtostatement	addEntityNoDups	action	add account if not member to accounts
addtostatement	addStrNoDups	action	add "x" if not member to accounts
addtostatement	addEntityNoDupsDup	action	add account if not member to accounts and to accounts
addtostatement	addStrNoDupsDup	action	add "x" if not member to accounts and to accounts
addtostatement	addArrayNoMember	action	add accounts to accounts if not member
bexpr	boolAllHave	condition	all accounts have true
bexpr	boolOneOfHasa	condition	one of accounts has a true
bexpr	boolThereIsWhere	condition	there is account where true
bexpr	boolThereIsNoWhere	condition	there is no account where true
bexpr	boolThereIsInEntityWhere	condition	there is account in account where true
bexpr	boolThereIsInArrayWhere	condition	there is account in copy of accounts where true	#1247: a bare identifier is taken by boolThereIsInEntityWhere
bexpr	boolThereIsNoInEntityWhere	condition	there is no account in account where true
bexpr	boolThereIsNoInArrayWhere	condition	there is no account in copy of accounts where true	#1247
bexpr	boolEntityHasaWhere	condition	account has a "rel" where true
bexpr	boolStartsWithAt	condition	"hello" at 2 starts with "llo"
dexpr	dateDays	condition	(date) "2020-01-01" + (5 days) is equal to (date) "2020-01-06"
strexpr	strTableLookup	condition	(string) tbl("a") is equal to "x"
bexpr	boolValueOfOp	condition	boolean value of isnull("x")
iexpr	intValueOfOp	condition	long value of cvi(1.0) > 0
fexpr	floatValueOfOp	condition	double value of cvr(1) > 0.0
strexpr	strValueOfOp	condition	string value of cvs(1) is equal to "1"
done	policyNExpr	raw	policystatement $tbl;
bexpr	boolMatchForall	condition	there is match for all accounts to $tbl in accounts
datestatement	dateAddSeconds	action	add 5 seconds to dt	#1232
datestatement	dateAddMinutes	action	add 5 minutes to dt	#1232
datestatement	dateSubSeconds	action	subtract 5 seconds from dt	#1232
datestatement	dateSubMinutes	action	subtract 5 minutes from dt	#1232
dexpr	dateExprAddSeconds	condition	add 5 seconds to (date) "2020-01-01" is equal to (date) "2020-01-01"	#1232
dexpr	dateExprAddMinutes	condition	add 5 minutes to (date) "2020-01-01" is equal to (date) "2020-01-01"	#1232
dexpr	dateExprSubSeconds	condition	subtract 5 seconds from (date) "2020-01-01" is equal to (date) "2020-01-01"	#1232
dexpr	dateExprSubMinutes	condition	subtract 5 minutes from (date) "2020-01-01" is equal to (date) "2020-01-01"	#1232
dexpr	datePlusSeconds	condition	(date) "2020-01-01" + 5 seconds is equal to (date) "2020-01-01"	#1232
dexpr	datePlusMinutes	condition	(date) "2020-01-01" + 5 minutes is equal to (date) "2020-01-01"	#1232
dexpr	dateMinusSeconds	condition	(date) "2020-01-01" - 5 seconds is equal to (date) "2020-01-01"	#1232
dexpr	dateMinusMinutes	condition	(date) "2020-01-01" - 5 minutes is equal to (date) "2020-01-01"	#1232
iexpr	intSecondsBetween	condition	seconds from (date) "2020-01-01" to (date) "2020-01-01" > 0	#1232
iexpr	intMinutesBetween	condition	minutes from (date) "2020-01-01" to (date) "2020-01-01" > 0	#1232
